Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
2000,1,Kenyon Martin,1,206,106,2042,513,875,2,9,251,432,0,869,142,124,292,139,231,1279,1,1
2000,2,Stromile Swift,0,206,102,1332,253,452,8,33,157,256,0,348,37,65,130,126,131,671,0,0
#2000,3,Darius Miles,0,206,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,4,Marcus Fizer,0,206,119,2204,690,1349,21,72,429,611,0,716,94,90,89,145,181,1830,0,0
2000,5,Mike Miller,0,203,99,1735,290,601,78,226,204,284,0,389,149,81,22,140,122,862,0,1
2000,6,DerMarr Johnson,0,206,91,879,140,293,52,140,70,95,0,123,45,31,30,46,64,402,0,0
2000,7,Chris Mihm,0,213,120,2041,498,1003,9,30,399,583,0,945,55,36,264,159,180,1404,0,0
2000,8,Jamal Crawford,0,196,91,577,105,255,33,101,40,51,0,47,76,19,16,53,19,283,0,1
2000,9,Joel Przybilla,0,216,116,1351,201,340,0,0,85,163,0,339,91,17,81,141,150,487,0,1
2000,10,Keyon Dooling,0,190,89,1659,223,543,67,198,203,277,0,142,198,76,29,134,103,716,0,0
2000,11,Jerome Moiso,0,208,107,1661,301,608,5,22,135,220,0,421,66,61,81,141,176,742,0,0
2000,12,Etan Thomas,0,206,116,2261,495,825,0,0,350,585,0,847,51,85,424,148,242,1340,0,0
2000,13,Courtney Alexander,0,196,93,3456,805,1767,166,458,336,438,0,441,249,128,21,220,246,2112,0,0
2000,14,Mateen Cleaves,0,188,93,2755,540,1331,143,457,318,431,0,256,816,195,16,353,194,1541,0,0
2000,15,Jason Collier,0,213,118,2602,479,1045,69,187,318,447,0,693,118,60,110,256,243,1345,0,0
#2000,16,Hedo Turkoglu,1,208,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,17,Desmond Mason,1,201,102,2921,616,1268,130,349,340,468,0,795,147,158,92,175,196,1702,0,1
2000,18,Quentin Richardson,1,198,101,2190,405,893,117,317,220,302,0,652,104,59,17,138,144,1147,0,1
