name, isSucessful, height, weight, wing_span, minutes_played, FG, FGA, 3P, 3PA, FT, FTA, ORB, TRB, AST, STL, BLK, TOV, PF, PTS
Andrew Bogut, 1, 213, 117, 221, 2226, 449, 744, 13, 36, 215, 319, 0, 753, 155, 48, 109, 0, 0, 1126
Marvin Williams, 0, 206, 107, 222, 800, 125, 247, 19, 44, 138, 163, 0, 236, 26, 39, 17, 0, 0, 407
Deron Williams, 1, 190, 90, 183, 3200, 400, 947, 163, 436, 148, 216, 0, 334, 594, 115, 22, 0, 0, 1111
Chris Paul, 1, 183, 79, 194, 2110, 278, 589, 86, 183, 306, 365, 0, 245, 395, 160, 13, 0, 0, 948
Raymond Felton, 0, 185, 92, 194, 3421, 414, 978, 174, 464, 258, 353, 0, 417, 698, 192, 27, 0, 0, 1260
# Martell Webster, 0, 201, 104, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Charlie Villanueva, 0, 211, 105, 213, 1405, 272, 525, 24, 61, 139, 204, 0, 425, 63, 26, 105, 0, 0, 707
Channing Frye, 0, 211, 115, 220, 3686, 707, 1257, 6, 23, 369, 486, 0, 975, 176, 86, 258, 0, 0, 1789
Ike Diogu, 0, 203, 113, 222, 3190, 617, 1080, 41, 106, 671, 854, 0, 802, 113, 39, 153, 0, 0, 1946
# Andrew Bynum, 1, 213, 129, 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# Fran Vazquez, 0, 208, 108, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# Yaroslav Korolev, 0, 206, 92, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Sean May, 0, 206, 120, 210, 2139, 442, 862, 0, 11, 329, 459, 0, 771, 113, 100, 94, 0, 0, 1213
Rashad McCants, 0, 193, 93, 211, 2863, 614, 1263, 221, 533, 272, 377, 0, 398, 204, 145, 61, 0, 0, 1721
Antoine Wright, 0, 201, 95, 205, 2793, 467, 1134, 181, 482, 223, 344, 0, 487, 184, 95, 50, 0, 0, 1338
Joey Graham, 0, 201, 102, 203, 3337, 597, 1132, 71, 188, 402, 497, 0, 667, 210, 100, 33, 0, 0, 1667
Danny Granger, 1, 206, 100, 217, 2695, 529, 1066, 78, 213, 450, 598, 0, 781, 154, 148, 180, 0, 0, 1586
# Gerald Green, 0, 201, 92, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Hakim Warrick, 0, 206, 99, 216, 4186, 767, 1432, 10, 40, 529, 803, 0, 1025, 207, 131, 128, 0, 0, 2073
Julius Hodge, 0, 201, 95, 215, 4258, 665, 1407, 114, 347, 596, 784, 0, 773, 454, 161, 82, 0, 0, 2040
Nate Robinson, 0, 175, 81, 185, 2510, 446, 975, 127, 365, 264, 333, 0, 345, 285, 140, 9, 0, 0, 1283
Jarrett Jack, 1, 190, 90, 202, 3260, 406, 850, 93, 259, 360, 452, 0, 450, 543, 183, 11, 0, 0, 1265
Francisco Garcia, 0, 201, 88, 210, 2757, 462, 1031, 180, 488, 309, 364, 0, 379, 346, 145, 134, 0, 0, 1413
Luther Head, 0, 190, 83, 183, 3250, 452, 956, 209, 547, 182, 242, 0, 403, 326, 158, 23, 0, 0, 1295
# Johan Petro, 0, 213, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Jason Maxiell, 0, 201, 117, 221, 3563, 562, 1108, 2, 7, 440, 674, 0, 908, 87, 91, 251, 0, 0, 1566
Linas Kleiza, 0, 203, 111, 0, 1408, 229, 555, 39, 136, 210, 297, 0, 385, 66, 27, 14, 0, 0, 707
# Ian Mahinmi, 0, 211, 113, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wayne Simien, 0, 206, 115, 0, 2817, 585, 1048, 6, 25, 417, 532, 0, 884, 93, 78, 78, 0, 0, 1593
David Lee, 1, 206, 111, 213, 3171, 543, 935, 0, 6, 350, 514, 0, 869, 251, 113, 109, 0, 0, 1436
