round_epochs,val_loss,val_acc,loss,acc,lr,first_neuron,hidden_layers,batch_size,epochs,dropout,kernel_initializer,optimizer,losses,activation,last_activation
200,0.17752024011006431,0.7698412670029534,0.15466087053016742,0.8095238224989703,0.001,12,7,20,200,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.5438996042524066,0.7698412599071623,0.48700937496967056,0.8095238127675998,0.001,12,0,10,100,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.6421358159610203,0.7857142961214459,0.38824778146484273,0.8979591796187316,0.003,12,2,20,200,0,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.546790687810807,0.7777777730472504,0.4625284013902249,0.8469387682116761,0.003,6,7,10,100,0,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.5412090751859877,0.7698412670029534,0.48769997901657003,0.809523822904444,0.003,6,5,20,100,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.17543367804988982,0.7698412670029534,0.15129503247891965,0.809523822904444,0.001,6,2,20,200,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,0.17877616910707383,0.7857142771993365,0.14160559848457777,0.8911564650178767,0.001,12,5,20,200,0,normal,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb280f5d08>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
100,0.18767065117283474,0.7698412670029534,0.1532596749614696,0.809523822904444,0.003,6,2,20,100,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb280f5d08>,<function relu at 0xb2811a8c8>,<function sigmoid at 0xb2811a9d8>
200,0.5440904025047545,0.7698412670029534,0.48694595025510207,0.809523822904444,0.003,6,7,20,200,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
200,3.709720316387358,0.7698412670029534,3.0542821592214158,0.8095238224989703,0.001,12,0,20,200,0,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb280fa2f0>,<function elu at 0xb2811a6a8>,<function sigmoid at 0xb2811a9d8>
