Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
1980,1,Joe Barry Carroll,1,213,102,3831,875,1602,0,0,425,653,0,1148,0,0,0,0,0,2175,1,1
1980,2,Darrell Griffith,0,193,86,3895,981,1877,0,0,371,532,0,585,0,0,0,0,0,2333,0,1
1980,3,Kevin McHale,1,208,95,0,714,1290,0,0,276,357,0,950,124,0,0,0,0,1704,1,1
1980,4,Kelvin Ransey,0,185,77,3969,827,1688,0,0,280,359,0,417,0,0,0,0,0,1934,0,0
1980,5,James Ray,0,203,98,2432,655,1200,0,0,281,414,0,793,0,0,0,0,0,1591,0,0
1980,6,Mike O'Koren,0,201,94,0,643,1124,0,0,479,660,0,815,0,0,0,0,0,1765,0,0
1980,7,Mike Gminski,0,211,113,1192,901,1697,0,0,521,658,0,1242,128,0,0,0,0,2323,0,1
1980,8,Andrew Toney,1,190,81,3527,996,1882,0,0,534,690,0,340,0,0,0,0,0,2526,1,1
1980,9,Michael Brooks,0,201,100,967,1064,1976,0,0,500,714,0,1372,0,0,0,0,0,2628,0,1
1980,10,Ronnie Lester,0,188,79,0,622,1321,0,0,431,557,0,226,480,0,0,0,0,1675,0,0
1980,11,Kiki Vandeweghe,1,203,100,2819,536,941,0,0,308,397,0,569,0,0,0,0,0,1380,1,1
1980,12,Mike Woodson,0,196,88,0,821,1626,0,0,419,537,0,581,36,0,0,0,0,2061,0,0
1980,13,Rickey Brown,0,208,98,3386,774,1588,0,0,290,421,0,1092,0,0,0,0,0,1838,0,0
1980,14,Wes Matthews,0,185,77,2349,489,1026,0,0,273,334,0,189,0,0,0,0,0,1251,0,0
1980,15,Reggie Johnson,0,206,93,1904,864,1489,0,0,375,513,0,920,0,0,0,0,0,2103,0,0
1980,16,Hawkeye Whitney,0,196,107,0,826,1628,0,0,312,465,0,652,0,0,0,0,0,1964,0,0
1980,17,Larry Drew,1,185,77,3158,557,1164,0,0,287,385,0,329,0,0,0,0,0,1401,0,1
1980,18,Don Collins,0,198,86,3017,614,1097,0,0,335,434,0,535,0,0,0,0,0,1563,0,0
1980,19,John Duren,0,190,88,3249,647,1347,0,0,294,388,0,383,0,0,0,0,0,1588,0,0
1980,20,Bill Hanzlik,0,201,84,1838,234,468,0,0,176,230,0,266,0,0,0,0,0,644,0,0
1980,21,Monti Davis,0,201,93,0,385,777,0,0,137,226,0,1176,0,0,0,0,0,1344,0,0
1980,22,Chad Kinch,0,193,86,2877,846,1732,0,0,328,421,0,418,0,0,0,0,0,2020,0,0
1980,23,Carl Nicks,0,185,79,167,554,1235,0,0,324,454,0,257,0,0,0,0,0,1432,0,0
1980,24,Larry Smith,1,203,98,849,763,1335,0,0,326,522,0,1234,0,0,0,0,0,1852,0,1
1980,25,Jeff Ruland,1,208,109,0,717,1130,0,0,421,619,0,1067,0,0,0,0,0,1855,1,1
1980,26,Sam Worthen,0,196,88,1035,321,653,0,0,168,211,0,234,384,0,0,0,0,810,0,0
1980,27,John Stroud,0,201,98,2175,894,1695,0,0,540,695,0,826,0,0,0,0,0,2328,0,0
1980,28,Craig Shelton,0,201,95,2797,557,942,0,0,295,393,0,691,0,0,0,0,0,1409,0,0
1980,29,Louis Orr,0,203,79,0,593,1068,0,0,301,391,0,881,0,0,0,0,0,1487,0,0
1980,30,Kenny Natt,0,190,84,0,414,852,0,0,175,226,0,260,0,0,0,0,0,1003,0,0
1981,1,Mark Aguirre,1,198,105,3324,863,1582,0,0,456,594,0,706,294,93,35,195,159,2182,1,1
1981,2,Isiah Thomas,1,185,82,2176,366,685,0,0,236,312,0,221,356,0,0,0,0,968,1,1
1981,3,Buck Williams,1,203,98,1080,446,725,0,0,261,419,0,928,76,0,0,0,0,1153,1,1
1981,4,Al Wood,0,198,88,0,825,1474,0,0,365,478,0,624,0,0,0,0,0,2015,0,0
1981,5,Danny Vranes,0,201,95,3455,644,1103,0,0,435,608,0,951,0,0,0,0,0,1716,0,1
1981,6,Orlando Woolridge,0,206,98,2741,466,783,0,0,228,341,0,550,135,0,0,0,0,1160,0,1
1981,7,Steve Johnson,1,208,107,2829,828,1222,0,0,379,592,0,785,0,0,0,0,0,2035,1,1
1981,8,Tom Chambers,1,208,100,2959,691,1249,0,0,316,475,0,876,82,0,0,0,0,1698,1,1
1981,9,Rolando Blackman,1,198,86,0,755,1460,0,0,334,466,0,607,323,0,0,0,0,1844,1,1
1981,10,Albert King,0,198,86,1075,862,1673,0,0,334,431,0,715,240,0,0,0,0,2058,0,0
1981,11,Frank Johnson,0,185,84,4054,708,1464,0,0,333,442,0,306,460,0,0,0,0,1749,0,0
