round_epochs,val_loss,val_acc,loss,acc,lr,first_neuron,hidden_layers,batch_size,epochs,dropout,kernel_initializer,optimizer,losses,activation,last_activation
100,0.3939394002610987,0.6060606132854115,0.2185943507050213,0.796052628049725,0.3007,6,0,10,100,4,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.7970061844045465,0.6363636309450323,0.47897640027497945,0.8092105310214194,0.8002,6,0,20,100,4,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.6851829570351224,0.6060606241226196,0.5233631245791912,0.7828947497825873,0.7003,6,9,5,200,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.24983295843456732,0.6060606096730088,0.17204506136476994,0.782894754880353,0.2008,6,8,50,100,2,uniform,<class 'keras.optimizers.Adam'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
100,0.2387513459631891,0.6060606096730088,0.20136574969479912,0.7828947478219083,0.1009,12,9,50,100,8,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
100,0.2387621926538872,0.6060606096730088,0.1997266617652617,0.7828947478219083,0.6004,6,4,50,100,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.3939393957455953,0.6060606132854115,0.21710526286379286,0.7828947509589949,0.4006,12,0,20,200,0,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.6851725045478705,0.6060606241226196,0.5233873357310107,0.7828947497825873,0.001,12,6,5,200,0,uniform,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function elu at 0xb1e091730>,<function sigmoid at 0xb1e091a60>
200,0.24842361157590692,0.6060606132854115,0.17115044593811035,0.7828947454690933,0.5005,6,3,10,200,0,normal,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.24709463187239386,0.6060606241226196,0.16602173958610938,0.8026315897311035,0.4006,12,2,5,200,8,uniform,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0xb1e067d90>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
200,0.6852167185508844,0.6060606241226196,0.5213294452742526,0.7828947497825873,0.1009,6,3,5,200,8,normal,<class 'keras.optimizers.SGD'>,<function binary_crossentropy at 0xb1e068378>,<function relu at 0xb1e091950>,<function sigmoid at 0xb1e091a60>
